States/UTs,Short Form,2008-Lymphoedema,2008-Hydrocele,2009-Lymphoedema,2009-Hydrocele,2010-Lymphoedema,2010-Hydrocele,2011-Lymphoedema,2011-Hydrocele,2012-Lymphoedema,2012-Hydrocele,2013-Lymphoedema,2013-Hydrocele
Andaman and Nicobar Islands,AN,75,25,159,85,140,91,131,68,121,67,121,67
Andhra Pradesh,AP,138931,6696,154061,6864,158119,7949,158192,7047,158187,7163,158187,7163
Arunachal Pradesh,AR,0,0,0,0,0,0,0,0,0,0,0,0
Assam,AS,776,968,906,1244,1193,1569,1234,1478,1421,1783,1421,1783
Bihar,BR,212536,164543,214907,173334,214907,173334,216666,173334,216666,173306,216666,173306
Chandighar,CD,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,CG,5814,7283,4731,7995,4743,7777,6087,9427,6087,7834,6087,7834
Dadra and Nagar Haveli,DN,107,0,77,0,77,0,77,0,71,40,71,40
Daman and Diu,DD,176,70,149,44,142,57,136,83,136,0,136,0
Delhi,DE,0,0,0,0,0,0,0,0,0,0,0,0
Goa,GO,191,100,182,41,153,64,149,79,149,0,149,0
Gujarat,GJ,2529,2049,3569,2137,3848,1960,4591,3300,4591,1169,4591,1169
Haryana,HR,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,HP,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,JK,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,JH,86949,36392,89330,37152,89330,36458,96993,43330,96993,41671,96993,41671
Karnataka,KA,16782,2520,17041,2746,16135,3391,16137,3409,16772,3338,16772,3338
Kerala,KL,10886,413,10303,671,14746,1518,17484,1473,17585,1332,17585,1332
Lakshadweep,LK,283,87,254,87,254,87,254,87,254,87,254,87
Madhya Pradesh,MP,3399,7448,3399,2766,3399,2766,4046,5633,4046,4551,4046,4551
Maharashtra,MH,53468,38118,53878,39088,53961,39077,54069,36172,48989,35884,48989,35884
Manipur,MN,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,ML,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,MZ,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,NL,0,0,0,0,0,0,0,0,0,0,0,0
Orissa,OR,61784,30633,61784,30633,61784,30633,79912,37085,79912,37085,79912,37085
Puducherry,PD,1539,184,1539,184,1539,184,1304,133,1304,133,1304,133
Punjab,PB,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,RJ,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,SK,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,TN,34431,8060,39510,21220,38670,20908,39905,19931,39905,19618,39905,19618
Tripura,TR,0,0,0,0,0,0,0,0,0,0,0,0
Telangana,TL,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,UP,77980,37739,77849,35600,91912,43094,92989,38293,104607,41415,104607,41415
West Bengal,WB,45862,32190,52325,31207,52325,31090,79798,30931,79798,30831,79798,30831
